主体,详情链接
Tray,https://art.nelson-atkins.org/objects/16339/tray;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=23
Bowl,https://art.nelson-atkins.org/objects/15924/bowl;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=24
Seated_Bodhisattva,https://art.nelson-atkins.org/objects/22462/seated-bodhisattva;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=25
Inscribed_Oracle_Bone,https://art.nelson-atkins.org/objects/17856/inscribed-oracle-bone;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=43
Lady's_Coat_Panel,https://art.nelson-atkins.org/objects/8192/ladys-coat-panel;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=44
Corner_Bracket_or_Table_Support_in_Animal_Form,https://art.nelson-atkins.org/objects/8636/corner-bracket-or-table-support-in-animal-form;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=45
Pheasant,https://art.nelson-atkins.org/objects/8671/pheasant;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=46
Inscribed_Oracle_Bone,https://art.nelson-atkins.org/objects/9606/inscribed-oracle-bone;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C?ctx=25056540-55bb-4953-bbca-047a0061e31c&idx=47
Gamester_or_Storyteller,https://art.nelson-atkins.org/objects/9434/gamester-or-storyteller;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=48
Dog,https://art.nelson-atkins.org/objects/9497/dog;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=49
Warrior,https://art.nelson-atkins.org/objects/10074/warrior;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=50
Central_Asian_Falconer,https://art.nelson-atkins.org/objects/10163/central-asian-falconer;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=51
Bowl,https://art.nelson-atkins.org/objects/10277/bowl;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=52
Whiling_Away_the_Summer,https://art.nelson-atkins.org/objects/10336/whiling-away-the-summer;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=53
Three-storied_Watchtower,https://art.nelson-atkins.org/objects/10019/threestoried-watchtower;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=55
"Ceiling_Panels,_China,_Beijing,_Zhihua_Temple",https://art.nelson-atkins.org/objects/9221/ceiling-panels-china-beijing-zhihua-temple;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=56
